episode,reward,steps
1875,11,10
1876,1,20
1877,-5,17
1878,0,12
1879,5,16
1880,-4,16
1881,11,10
1882,1,20
1883,6,15
1884,-22,25
1885,6,15
1886,11,10
1887,-4,16
1888,3,18
1889,-23,17
1890,-3,15
1891,-8,20
1892,5,16
1893,5,16
1894,3,18
1895,6,15
1896,-4,16
1897,11,10
1898,-6,18
1899,-16,19
1900,-7,19
1901,12,9
1902,12,9
1903,4,17
1904,10,11
1905,5,16
1906,-5,17
1907,3,18
1908,-2,14
1909,3,18
1910,0,21
1911,14,7
1912,-5,17
1913,-12,15
1914,14,7
1915,6,15
1916,5,16
1917,9,12
1918,6,15
1919,-18,30
1920,-4,16
1921,6,15
1922,2,19
1923,-15,18
1924,4,17
1925,9,12
1926,7,14
1927,3,18
1928,7,14
1929,-5,17
1930,-4,16
1931,-5,17
1932,-10,13
1933,-7,19
1934,-11,14
1935,-3,15
1936,-12,15
1937,-3,15
1938,-8,20
1939,-26,20
1940,3,18
1941,7,14
1942,5,16
1943,7,14
1944,9,12
1945,-3,15
1946,-1,13
1947,6,15
1948,4,17
1949,13,8
1950,-20,14
1951,-5,17
1952,12,9
1953,0,12
1954,6,15
1955,7,14
1956,13,8
1957,15,6
1958,12,9
1959,-5,17
1960,8,13
1961,10,11
1962,-3,15
1963,5,16
1964,-14,17
1965,-1,22
1966,-6,18
1967,11,10
1968,-13,16
1969,9,12
1970,4,17
1971,2,19
1972,-3,15
1973,-15,18
1974,-4,16
1975,8,13
1976,7,14
1977,9,12
1978,-2,14
1979,-6,18
1980,-13,25
1981,7,14
1982,10,11
1983,5,16
1984,-9,21
1985,0,12
1986,10,11
1987,8,13
1988,-7,19
1989,-1,13
1990,4,17
1991,-4,16
1992,-2,14
1993,7,14
